Feature	{scoringMetric}	P-Value
cat__USCensusRegion_         	0.12405055613875975	0.724682659141145
cat__USCensusRegion_Midwest  	143.9091318657439	3.844212976763603e-33
cat__USCensusRegion_Northeast	298.6614384628559	7.425557250259915e-67
cat__USCensusRegion_South    	84.82848905425861	3.291958349644779e-20
cat__USCensusRegion_West     	42.59502076512979	6.753212332924543e-11
cat__USCensusDivision_                  	0.12405055613875975	0.724682659141145
cat__USCensusDivision_East North Central	84.5956286288166	3.703186859934828e-20
cat__USCensusDivision_East South Central	213.99285159606154	1.9877203101729968e-48
cat__USCensusDivision_Middle Atlantic   	287.3542090613696	2.1372185343869412e-64
cat__USCensusDivision_Mountain          	18.558363783541523	1.648794554533967e-05
cat__USCensusDivision_New England       	13.354523648223244	0.00025788301263766206
cat__USCensusDivision_Pacific           	19.881619418446007	8.244501909640793e-06
cat__USCensusDivision_South Atlantic    	35.156117666549534	3.049300006884868e-09
cat__USCensusDivision_West North Central	47.65369611309907	5.104598936491396e-12
cat__USCensusDivision_West South Central	14.795545734866524	0.00011986494856735398
cat__NasemsoRegion_              	0.12405055613875975	0.724682659141145
cat__NasemsoRegion_East          	516.2431612871927	4.2311081038051456e-114
cat__NasemsoRegion_Great Lakes   	81.78448871108873	1.5341053286116337e-19
cat__NasemsoRegion_South         	242.96114584467205	9.765999757428842e-55
cat__NasemsoRegion_West          	42.700612183344724	6.39842179949868e-11
cat__NasemsoRegion_Western Plains	17.113846014705363	3.5222813760431594e-05
cat__Urbanicity_          	25.339985682879746	4.811651627445561e-07
cat__Urbanicity_Rural     	0.3871056271365168	0.533825637562692
cat__Urbanicity_Suburban  	66.91096278443989	2.8611968862210796e-16
cat__Urbanicity_Urban     	47.04925150008536	6.94769504280429e-12
cat__Urbanicity_Wilderness	5.115789356878272	0.02371042435071139
cat__eDispatch_02_No	14.937376936028224	0.00011118331296004705
cat__eDispatch_02_Not Applicable	14.85785334180143	0.0001159700018346756
cat__eDispatch_02_Not Recorded	155.60584298576825	1.0728997806347457e-35
cat__eDispatch_02_Yes, Unknown if Pre-Arrival Instructions Given	220.16862798295597	8.974691492875988e-50
cat__eDispatch_02_Yes, With Pre-Arrival Instructions	619.8475891693212	1.4784476620252314e-136
cat__eDispatch_02_Yes, Without Pre-Arrival Instructions	3.569247473107736	0.05886079951467406
cat__eArrest_01_Yes, After EMS Arrival	4917.439906856492	0.0
cat__eArrest_01_Yes, Prior to EMS Arrival	4917.439906856525	0.0
cat__eArrest_02_Cardiac (Presumed)	609.3994189971128	2.7133992695551295e-134
cat__eArrest_02_Drowning/Submersion	115.88376816563554	5.149377383094363e-27
cat__eArrest_02_Drug Overdose	1261.4491027144495	3.2742389046043794e-275
cat__eArrest_02_Electrocution	72.70364162737955	1.5194916005645206e-17
cat__eArrest_02_Exsanguination	18.885653020945576	1.3887865258534214e-05
cat__eArrest_02_Not Applicable	11.262417861578463	0.0007911065500301611
cat__eArrest_02_Not Recorded	2.9054486225982203	0.08828264367795015
cat__eArrest_02_Other	213.46589688811858	2.5891545474117872e-48
cat__eArrest_02_Respiratory/Asphyxia	2375.887237270607	0.0
cat__eArrest_02_Trauma	605.7578161663992	1.6693811105275895e-133
cat__eArrest_05_9923001	784.2324946691941	3.8063114080848887e-172
cat__eArrest_05_9923003	2176.423941054576	0.0
cat__eArrest_05_Not Applicable	279.7521900103446	9.625755609844165e-63
cat__eArrest_05_Not Recorded	1124.8540003960545	9.545166486854496e-246
cat__eArrest_07_No	673.4969538567399	3.542861596112535e-148
cat__eArrest_07_Not Applicable	142.20492010177344	9.059177311877399e-33
cat__eArrest_07_Not Recorded	66.32590554807805	3.8493809800855224e-16
cat__eArrest_07_Yes, Applied without Defibrillation	0.5808581498509581	0.44597728220916044
cat__eArrest_07_Yes, With Defibrillation	3495.564651113766	0.0
cat__eArrest_11_3011001   	11145.824038002991	0.0
cat__eArrest_11_3011005   	4875.773080545948	0.0
cat__eArrest_11_3011007   	507.30373011409694	3.6741448450944046e-112
cat__eArrest_11_3011009   	1546.6304666052044	0.0
cat__eArrest_11_3011011   	7224.518495678403	0.0
cat__eArrest_11_3011013   	1593.7798897949783	0.0
cat__eArrest_11_7701001   	169.8028861127888	8.553673441965747e-39
cat__eArrest_11_7701003   	326.4583122822903	6.720619504763722e-73
cat__eArrest_11_Unknown   	100.2620023376742	1.3568564723671373e-23
cat__eDisposition_16_Air Medical-Fixed Wing	239.19888956910214	6.438694610307513e-54
cat__eDisposition_16_Air Medical-Rotor Craft	3286.2861159831414	0.0
cat__eDisposition_16_Ground-ATV or Rescue Vehicle	141.38854779958788	1.3659525440939323e-32
cat__eDisposition_16_Ground-Ambulance	25089.15218017277	0.0
cat__eDisposition_16_Ground-Bariatric	0.19525539865743016	0.6585787222105768
cat__eDisposition_16_Ground-Mass Casualty Bus/Vehicle	1.8762858881832798	0.17075881901015674
cat__eDisposition_16_Ground-Other Not Listed	3.8759413145504054	0.04898457163651828
cat__eDisposition_16_Ground-Wheelchair Van	0.20472153190839498	0.6509370711064557
cat__eDisposition_16_Not Applicable	5007.235252535958	0.0
cat__eDisposition_16_Not Recorded	13134.635740975897	0.0
cat__eDisposition_16_Water-Boat	4.884779090686759	0.027095922379803933
cat__eOutcome_02_1	44.416191802636746	2.663449433179061e-11
cat__eOutcome_02_2	14.655423663732908	0.00012911220683343907
cat__eOutcome_02_3	19.541289226634362	9.851377451233014e-06
cat__eOutcome_02_4	4.884779090686759	0.027095922379803933
cat__eOutcome_02_5	0.4094461705772199	0.5222516645058966
cat__eOutcome_02_6	3.0894811648619793	0.07880185672069458
cat__eOutcome_02_7	0.6141739160771951	0.4332217403594102
cat__eOutcome_02_Deceased/Expired (or did not recover - Religious Non Medical Health Care Patient)	21.89279596537517	2.8855146662190014e-06
cat__eOutcome_02_Discharged/transferred to Hospice - home.	1.5447060947290323	0.21392050488071526
cat__eOutcome_02_Discharged/transferred to a Critical Access Hospital (CAH).	43.97605141630431	3.334776611310819e-11
cat__eOutcome_02_Discharged/transferred to a inpatient rehabilitation facility including distinct part units of a hospital.	4.884779090686759	0.027095922379803933
cat__eOutcome_02_Discharged/transferred to another type of health care institution not defined elsewhere in the code list.	35.0695106035534	3.187946873532239e-09
cat__eOutcome_02_Discharged/transferred to long term care hospitals	9.76992029850838	0.0017742211553814183
cat__eOutcome_02_Not Applicable	2505.2499076432723	0.0
cat__eOutcome_02_Not Recorded	2057.6530211368577	0.0
cat__eOutcome_02_Still a patient or expected to return for outpatient services.	188.82770031757397	6.065179140125826e-43
cat__ePatient_13_Female	83.93681614537829	5.1667538963670936e-20
cat__ePatient_13_Male	72.87707743847618	1.391716021055998e-17
cat__ePatient_13_Not Applicable	2.8875758122957156	0.08926710723567344
cat__ePatient_13_Not Recorded	3.329746148986394	0.0680392529711189
cat__ePatient_13_Unknown (Unable to Determine)	6.998403132360217	0.00815904940212788
cat__ePatient_16_Days	0.012388028084010069	0.9113773917715864
cat__ePatient_16_Hours	4.943945787520796	0.026183602975763987
cat__ePatient_16_Minutes	0.6822894375447167	0.4088007188451105
cat__ePatient_16_Months	5.121360684738762	0.02363442318646078
cat__ePatient_16_Not Applicable	29.226120918115363	6.449759762903113e-08
cat__ePatient_16_Not Recorded	2.3841778637304127	0.12257135284703075
cat__ePatient_16_Years	2.062518056364764	0.1509625015277888
cat__ePayment_01_Community Network	9.383054967063856	0.002190369417848807
cat__ePayment_01_Contracted Payment	6.815951338520731	0.009035564826026701
cat__ePayment_01_Insurance	497.86242382962985	4.101012873277512e-110
cat__ePayment_01_Medicaid	124.52777855696175	6.618988823860254e-29
cat__ePayment_01_Medicare	556.8930648047335	6.498715109324388e-123
cat__ePayment_01_No Insurance Identified	6.271479376877214	0.012270660372516439
cat__ePayment_01_Not Applicable	426.8646193065098	1.0429709975649345e-94
cat__ePayment_01_Not Billed (for any reason)	96.78979642921911	7.826126492378097e-23
cat__ePayment_01_Not Recorded	84.50361467867015	3.879506414335821e-20
cat__ePayment_01_Other Government	1.900492611801918	0.16802513279605158
cat__ePayment_01_Other Payment Option	424.77593789282645	2.962564517187266e-94
cat__ePayment_01_Payment by Facility	1.029939601451477	0.3101744004418775
cat__ePayment_01_Self Pay	61.827865649971876	3.7716747490135325e-15
cat__ePayment_01_Workers Compensation	2.9464136762599447	0.08607031180438729
cat__ePayment_50_ALS, Level 1	322.9322487673594	3.9251898607014893e-72
cat__ePayment_50_ALS, Level 1 Emergency	685.1913438773481	1.040057986437852e-150
cat__ePayment_50_ALS, Level 2	373.40078573077017	4.240845997597818e-83
cat__ePayment_50_BLS	98.07798574082081	4.0848730250368275e-23
cat__ePayment_50_BLS, Emergency	900.2105220564837	3.1576306874823113e-197
cat__ePayment_50_Fixed Wing (Airplane)	44.132706356361176	3.078354801454898e-11
cat__ePayment_50_Not Applicable	780.8227433770733	2.0807993448057315e-171
cat__ePayment_50_Not Recorded	551.1815956270808	1.1245202460070517e-121
cat__ePayment_50_Paramedic Intercept	19.273388581167907	1.1334720657883588e-05
cat__ePayment_50_Rotary Wing (Helicopter)	801.8130143754937	5.9860140579251774e-176
cat__ePayment_50_Specialty Care Transport	171.92638947225964	2.943542673610231e-39
cat__eResponse_05_911 Response (Scene)	1357.0931046642083	7.951086508687228e-296
cat__eResponse_05_Intercept	41.78695040434491	1.0207393300587544e-10
cat__eResponse_05_Interfacility Transport	3073.088049124188	0.0
cat__eResponse_05_Medical Transport	15.519513867071582	8.169280604924797e-05
cat__eResponse_05_Mutual Aid	0.12205085522098755	0.7268211923029143
cat__eResponse_05_Public Assistance/Other Not Listed	8.870522636223841	0.002898559337177005
cat__eResponse_05_Standby	0.659101893500112	0.4168784049019557
cat__eResponse_07_2207003   	53.13092500492699	3.1348271209000124e-13
cat__eResponse_07_2207005   	63.08064665457438	1.997002076599828e-15
cat__eResponse_07_2207007   	540.2674583764473	2.612981261920275e-119
cat__eResponse_07_2207009   	15.152900330270302	9.918637653709039e-05
cat__eResponse_07_2207011   	1118.1592190133608	2.658428142914725e-244
cat__eResponse_07_2207013   	90.20701192789693	2.1732693704920952e-21
cat__eResponse_07_Air Transport-Fixed Wing	79.65593506328689	4.502145469785289e-19
cat__eResponse_07_Air Transport-Helicopter	823.6899269566348	1.1092238604436852e-180
cat__eResponse_07_Ground Transport	88.79431958886354	4.436658141779053e-21
cat__eResponse_07_Non-Transport Administrative (e.g., Supervisor)	53.83399403591797	2.1919962240727883e-13
cat__eResponse_07_Non-Transport Assistance	344.9213398771042	6.528624873869141e-77
cat__eResponse_07_Non-Transport Rescue	4.89742995137427	0.026898112985471092
cat__eResponse_07_Unknown   	37.451594358028956	9.39281761892045e-10
cat__eResponse_15_ALS-AEMT	0.08475438429078307	0.7709552880457673
cat__eResponse_15_ALS-Community Paramedicine	0.2514392623136327	0.6160641622491511
cat__eResponse_15_ALS-Intermediate	69.9770536695277	6.047585862776973e-17
cat__eResponse_15_ALS-Nurse	120.445591159751	5.172047409158152e-28
