Penalty Weight | Train Score | Test Score | Features with Non-Zero Coefficients
0.004 | 0.3285536095753877 | 0.33305147379135003 | ['cat__NasemsoRegion_East          ', 'cat__eDispatch_02_Yes, With Pre-Arrival Instructions', 'cat__eArrest_01_Yes, After EMS Arrival', 'cat__eArrest_02_Drug Overdose', 'cat__eArrest_02_Respiratory/Asphyxia', 'cat__eArrest_02_Trauma', 'cat__eArrest_05_9923003', 'cat__eArrest_07_Yes, With Defibrillation', 'cat__eArrest_11_3011001   ', 'cat__eArrest_11_3011011   ', 'cat__eArrest_11_7701003   ', 'cat__eDisposition_16_Ground-Ambulance', 'cat__eDisposition_16_Not Recorded', 'cat__eOutcome_02_Not Recorded', 'cat__ePatient_13_Male', 'cat__eScene_08_Not Applicable', 'cat__eScene_08_Not Recorded', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eDisposition_17_Not Applicable', 'cat__eDisposition_17_Not Recorded', 'num__EMSDispatchCenterTimeSec', 'num__EMSSceneResponseTimeMin', 'num__EMSSceneTimeMin', 'num__EMSTransportTimeMin', 'num__EMSTotalCallTimeMin', 'num__ePatient_15']
0.0041 | 0.3276784920444513 | 0.3322058778254283 | ['cat__NasemsoRegion_East          ', 'cat__eDispatch_02_Yes, With Pre-Arrival Instructions', 'cat__eArrest_01_Yes, After EMS Arrival', 'cat__eArrest_02_Drug Overdose', 'cat__eArrest_02_Respiratory/Asphyxia', 'cat__eArrest_02_Trauma', 'cat__eArrest_05_9923003', 'cat__eArrest_07_Yes, With Defibrillation', 'cat__eArrest_11_3011001   ', 'cat__eArrest_11_3011011   ', 'cat__eArrest_11_7701003   ', 'cat__eDisposition_16_Ground-Ambulance', 'cat__eDisposition_16_Not Recorded', 'cat__eOutcome_02_Not Recorded', 'cat__ePatient_13_Male', 'cat__eScene_08_Not Applicable', 'cat__eScene_08_Not Recorded', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eDisposition_17_Not Applicable', 'cat__eDisposition_17_Not Recorded', 'num__EMSDispatchCenterTimeSec', 'num__EMSSceneResponseTimeMin', 'num__EMSSceneTimeMin', 'num__EMSTransportTimeMin', 'num__EMSTotalCallTimeMin', 'num__ePatient_15']
0.004200000000000001 | 0.32680120118005973 | 0.3313597837440626 | ['cat__eDispatch_02_Yes, With Pre-Arrival Instructions', 'cat__eArrest_01_Yes, After EMS Arrival', 'cat__eArrest_02_Drug Overdose', 'cat__eArrest_02_Respiratory/Asphyxia', 'cat__eArrest_02_Trauma', 'cat__eArrest_05_9923003', 'cat__eArrest_07_Yes, With Defibrillation', 'cat__eArrest_11_3011001   ', 'cat__eArrest_11_3011011   ', 'cat__eArrest_11_7701003   ', 'cat__eDisposition_16_Ground-Ambulance', 'cat__eDisposition_16_Not Recorded', 'cat__eOutcome_02_Not Recorded', 'cat__ePatient_13_Male', 'cat__eScene_08_Not Applicable', 'cat__eScene_08_Not Recorded', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eDisposition_17_Not Applicable', 'cat__eDisposition_17_Not Recorded', 'num__EMSDispatchCenterTimeSec', 'num__EMSSceneResponseTimeMin', 'num__EMSSceneTimeMin', 'num__EMSTransportTimeMin', 'num__EMSTotalCallTimeMin', 'num__ePatient_15']
0.004300000000000001 | 0.3259068032821111 | 0.33049657370508545 | ['cat__eDispatch_02_Yes, With Pre-Arrival Instructions', 'cat__eArrest_01_Yes, After EMS Arrival', 'cat__eArrest_02_Drug Overdose', 'cat__eArrest_02_Respiratory/Asphyxia', 'cat__eArrest_02_Trauma', 'cat__eArrest_05_9923003', 'cat__eArrest_07_Yes, With Defibrillation', 'cat__eArrest_11_3011001   ', 'cat__eArrest_11_3011011   ', 'cat__eArrest_11_7701003   ', 'cat__eDisposition_16_Ground-Ambulance', 'cat__eDisposition_16_Not Recorded', 'cat__eOutcome_02_Not Recorded', 'cat__ePatient_13_Male', 'cat__eScene_08_Not Applicable', 'cat__eScene_08_Not Recorded', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eDisposition_17_Not Applicable', 'cat__eDisposition_17_Not Recorded', 'num__EMSDispatchCenterTimeSec', 'num__EMSSceneResponseTimeMin', 'num__EMSSceneTimeMin', 'num__EMSTransportTimeMin', 'num__EMSTotalCallTimeMin', 'num__ePatient_15']
0.004400000000000001 | 0.32501668228858305 | 0.329638599393562 | ['cat__eDispatch_02_Yes, With Pre-Arrival Instructions', 'cat__eArrest_01_Yes, After EMS Arrival', 'cat__eArrest_02_Drug Overdose', 'cat__eArrest_02_Respiratory/Asphyxia', 'cat__eArrest_02_Trauma', 'cat__eArrest_05_9923003', 'cat__eArrest_11_3011001   ', 'cat__eArrest_11_3011011   ', 'cat__eArrest_11_7701003   ', 'cat__eDisposition_16_Ground-Ambulance', 'cat__eDisposition_16_Not Recorded', 'cat__eOutcome_02_Not Recorded', 'cat__ePatient_13_Male', 'cat__eScene_08_Not Applicable', 'cat__eScene_08_Not Recorded', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eDisposition_17_Not Applicable', 'cat__eDisposition_17_Not Recorded', 'num__EMSDispatchCenterTimeSec', 'num__EMSSceneResponseTimeMin', 'num__EMSSceneTimeMin', 'num__EMSTransportTimeMin', 'num__EMSTotalCallTimeMin', 'num__ePatient_15']
0.004500000000000001 | 0.3241628000355262 | 0.32881895833781905 | ['cat__eDispatch_02_Yes, With Pre-Arrival Instructions', 'cat__eArrest_01_Yes, After EMS Arrival', 'cat__eArrest_02_Drug Overdose', 'cat__eArrest_02_Respiratory/Asphyxia', 'cat__eArrest_02_Trauma', 'cat__eArrest_05_9923003', 'cat__eArrest_11_3011001   ', 'cat__eArrest_11_3011011   ', 'cat__eArrest_11_7701003   ', 'cat__eDisposition_16_Ground-Ambulance', 'cat__eDisposition_16_Not Recorded', 'cat__eOutcome_02_Not Recorded', 'cat__ePatient_13_Male', 'cat__eScene_08_Not Applicable', 'cat__eScene_08_Not Recorded', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eDisposition_17_Not Applicable', 'cat__eDisposition_17_Not Recorded', 'num__EMSDispatchCenterTimeSec', 'num__EMSSceneResponseTimeMin', 'num__EMSSceneTimeMin', 'num__EMSTransportTimeMin', 'num__EMSTotalCallTimeMin', 'num__ePatient_15']
0.004600000000000002 | 0.323289367871175 | 0.32797951777667655 | ['cat__eDispatch_02_Yes, With Pre-Arrival Instructions', 'cat__eArrest_01_Yes, After EMS Arrival', 'cat__eArrest_02_Drug Overdose', 'cat__eArrest_02_Respiratory/Asphyxia', 'cat__eArrest_02_Trauma', 'cat__eArrest_05_9923003', 'cat__eArrest_11_3011001   ', 'cat__eArrest_11_3011011   ', 'cat__eArrest_11_7701003   ', 'cat__eDisposition_16_Ground-Ambulance', 'cat__eDisposition_16_Not Recorded', 'cat__eOutcome_02_Not Recorded', 'cat__ePatient_13_Male', 'cat__eScene_08_Not Applicable', 'cat__eScene_08_Not Recorded', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eDisposition_17_Not Applicable', 'cat__eDisposition_17_Not Recorded', 'num__EMSDispatchCenterTimeSec', 'num__EMSSceneResponseTimeMin', 'num__EMSSceneTimeMin', 'num__EMSTransportTimeMin', 'num__EMSTotalCallTimeMin', 'num__ePatient_15']
0.004700000000000002 | 0.3223969936179767 | 0.32712074625336995 | ['cat__eDispatch_02_Yes, With Pre-Arrival Instructions', 'cat__eArrest_01_Yes, After EMS Arrival', 'cat__eArrest_02_Drug Overdose', 'cat__eArrest_02_Respiratory/Asphyxia', 'cat__eArrest_02_Trauma', 'cat__eArrest_05_9923003', 'cat__eArrest_11_3011001   ', 'cat__eArrest_11_3011011   ', 'cat__eArrest_11_7701003   ', 'cat__eDisposition_16_Ground-Ambulance', 'cat__eDisposition_16_Not Recorded', 'cat__eOutcome_02_Not Recorded', 'cat__ePatient_13_Male', 'cat__eScene_08_Not Applicable', 'cat__eScene_08_Not Recorded', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eDisposition_17_Not Applicable', 'cat__eDisposition_17_Not Recorded', 'num__EMSDispatchCenterTimeSec', 'num__EMSSceneResponseTimeMin', 'num__EMSSceneTimeMin', 'num__EMSTransportTimeMin', 'num__EMSTotalCallTimeMin', 'num__ePatient_15']
0.004800000000000002 | 0.321485359622238 | 0.32624239777622477 | ['cat__eDispatch_02_Yes, With Pre-Arrival Instructions', 'cat__eArrest_01_Yes, After EMS Arrival', 'cat__eArrest_02_Drug Overdose', 'cat__eArrest_02_Respiratory/Asphyxia', 'cat__eArrest_02_Trauma', 'cat__eArrest_05_9923003', 'cat__eArrest_11_3011001   ', 'cat__eArrest_11_3011011   ', 'cat__eArrest_11_7701003   ', 'cat__eDisposition_16_Ground-Ambulance', 'cat__eDisposition_16_Not Recorded', 'cat__eOutcome_02_Not Recorded', 'cat__ePatient_13_Male', 'cat__eScene_08_Not Applicable', 'cat__eScene_08_Not Recorded', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eDisposition_17_Not Applicable', 'cat__eDisposition_17_Not Recorded', 'num__EMSDispatchCenterTimeSec', 'num__EMSSceneResponseTimeMin', 'num__EMSSceneTimeMin', 'num__EMSTransportTimeMin', 'num__EMSTotalCallTimeMin', 'num__ePatient_15']
0.0049000000000000024 | 0.3205543189301113 | 0.3253443594816424 | ['cat__eDispatch_02_Yes, With Pre-Arrival Instructions', 'cat__eArrest_01_Yes, After EMS Arrival', 'cat__eArrest_02_Drug Overdose', 'cat__eArrest_02_Respiratory/Asphyxia', 'cat__eArrest_02_Trauma', 'cat__eArrest_05_9923003', 'cat__eArrest_11_3011001   ', 'cat__eArrest_11_3011011   ', 'cat__eArrest_11_7701003   ', 'cat__eDisposition_16_Ground-Ambulance', 'cat__eDisposition_16_Not Recorded', 'cat__eOutcome_02_Not Recorded', 'cat__ePatient_13_Male', 'cat__eScene_08_Not Applicable', 'cat__eScene_08_Not Recorded', 'cat__eDisposition_17_Emergent (Immediate Response)', 'cat__eDisposition_17_Not Applicable', 'cat__eDisposition_17_Not Recorded', 'num__EMSDispatchCenterTimeSec', 'num__EMSSceneResponseTimeMin', 'num__EMSSceneTimeMin', 'num__EMSTransportTimeMin', 'num__EMSTotalCallTimeMin', 'num__ePatient_15']
